dataset,raw_label,kind,canonical,status,n_recordings
siena,EEG F7,electrode,F7,used,41
siena,EEG F8,electrode,F8,used,41
siena,EEG F9,electrode,F9,"recognized, not needed for the montage",41
siena,EEG FP2,electrode,Fp2,used,35
siena,EEG Fc1,electrode,FC1,"recognized, not needed for the montage",41
siena,EEG Fc2,electrode,FC2,"recognized, not needed for the montage",41
siena,EEG Fc5,electrode,FC5,"recognized, not needed for the montage",41
siena,EEG Fc6,electrode,FC6,"recognized, not needed for the montage",41
siena,EEG Fp1,electrode,Fp1,used,41
siena,EEG Fp2,electrode,Fp2,used,6
siena,EEG Fz,electrode,Fz,used,41
siena,EEG O1,electrode,O1,used,41
siena,EEG O2,electrode,O2,used,41
siena,EEG P10,electrode,P10,"recognized, not needed for the montage",33
siena,EEG P3,electrode,P3,used,41
siena,EEG P4,electrode,P4,used,41
siena,EEG P9,electrode,P9,"recognized, not needed for the montage",33
siena,EEG Pz,electrode,Pz,used,41
siena,EEG T3,electrode,T7,used,41
siena,EEG T4,electrode,T8,used,41
siena,EEG T5,electrode,P7,used,41
siena,EEG T6,electrode,P8,used,41
siena,EKG EKG,non_eeg,,excluded: non-EEG signal,33
siena,HR,non_eeg,,excluded: non-EEG signal,41
siena,MK,non_eeg,,excluded: non-EEG signal,41
siena,PLET,non_eeg,,excluded: non-EEG signal,25
siena,SPO2,non_eeg,,excluded: non-EEG signal,41
tuar,BURSTS,non_eeg,,excluded: non-EEG signal,288
tuar,DC1-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC2-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC3-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC4-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC5-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC6-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC7-DC,non_eeg,,excluded: non-EEG signal,12
tuar,DC8-DC,non_eeg,,excluded: non-EEG signal,12
tuar,EEG 100-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 101-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 102-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 103-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 104-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 105-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 106-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 107-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 108-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 109-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 110-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 111-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 112-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 113-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 114-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 115-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 116-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 117-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 118-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 119-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 120-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 121-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 122-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 123-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 124-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 125-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 126-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 127-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 128-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 20-REF,numbered,,excluded: numbered channel with no electrode position,2
tuar,EEG 21-REF,numbered,,excluded: numbered channel with no electrode position,5
tuar,EEG 22-REF,numbered,,excluded: numbered channel with no electrode position,5
tuar,EEG 23-REF,numbered,,excluded: numbered channel with no electrode position,2
tuar,EEG 24-REF,numbered,,excluded: numbered channel with no electrode position,2
tuar,EEG 25-REF,numbered,,excluded: numbered channel with no electrode position,5
tuar,EEG 26-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 26-REF,numbered,,excluded: numbered channel with no electrode position,123
tuar,EEG 27-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 27-REF,numbered,,excluded: numbered channel with no electrode position,119
tuar,EEG 28-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 28-REF,numbered,,excluded: numbered channel with no electrode position,119
tuar,EEG 29-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 29-REF,numbered,,excluded: numbered channel with no electrode position,121
tuar,EEG 30-LE,numbered,,excluded: numbered channel with no electrode position,13
tuar,EEG 30-REF,numbered,,excluded: numbered channel with no electrode position,121
tuar,EEG 31-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 31-REF,numbered,,excluded: numbered channel with no electrode position,79
tuar,EEG 32-LE,numbered,,excluded: numbered channel with no electrode position,12
tuar,EEG 32-REF,numbered,,excluded: numbered channel with no electrode position,79
tuar,EEG 33-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 34-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 35-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 36-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 37-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 38-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 39-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 40-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 41-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 42-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 43-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 44-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 45-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 46-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 47-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 48-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 49-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 50-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 51-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 52-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 53-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 54-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 55-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 56-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 57-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 58-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 59-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 60-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 61-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 62-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 63-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 64-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 65-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 66-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 67-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 68-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 69-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 70-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 71-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 72-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 73-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 74-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 75-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 76-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 77-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 78-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 79-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 80-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 81-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 82-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 83-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 84-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 85-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 86-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 87-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 88-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 89-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 90-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 91-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 92-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 93-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 94-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 95-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 96-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 97-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 98-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG 99-REF,numbered,,excluded: numbered channel with no electrode position,3
tuar,EEG A1-LE,electrode,A1 (ref LE),"recognized, not needed for the montage",13
tuar,EEG A1-REF,electrode,A1 (ref REF),"recognized, not needed for the montage",290
tuar,EEG A2-LE,electrode,A2 (ref LE),"recognized, not needed for the montage",13
tuar,EEG A2-REF,electrode,A2 (ref REF),"recognized, not needed for the montage",290
tuar,EEG C3-LE,electrode,C3 (ref LE),used,13
tuar,EEG C3-REF,electrode,C3 (ref REF),used,297
tuar,EEG C3P-REF,electrode,C3P (ref REF),"recognized, not needed for the montage",55
tuar,EEG C4-LE,electrode,C4 (ref LE),used,13
tuar,EEG C4-REF,electrode,C4 (ref REF),used,297
tuar,EEG C4P-REF,electrode,C4P (ref REF),"recognized, not needed for the montage",55
tuar,EEG CZ-LE,electrode,Cz (ref LE),used,13
tuar,EEG CZ-REF,electrode,Cz (ref REF),used,297
tuar,EEG EKG-LE,non_eeg,,excluded: non-EEG signal,13
tuar,EEG EKG-REF,non_eeg,,excluded: non-EEG signal,7
tuar,EEG EKG1-REF,non_eeg,,excluded: non-EEG signal,288
tuar,EEG F3-LE,electrode,F3 (ref LE),used,13
tuar,EEG F3-REF,electrode,F3 (ref REF),used,297
tuar,EEG F4-LE,electrode,F4 (ref LE),used,13
tuar,EEG F4-REF,electrode,F4 (ref REF),used,297
tuar,EEG F7-LE,electrode,F7 (ref LE),used,13
tuar,EEG F7-REF,electrode,F7 (ref REF),used,297
tuar,EEG F8-LE,electrode,F8 (ref LE),used,13
tuar,EEG F8-REF,electrode,F8 (ref REF),used,297
tuar,EEG FP1-LE,electrode,Fp1 (ref LE),used,13
tuar,EEG FP1-REF,electrode,Fp1 (ref REF),used,297
tuar,EEG FP2-LE,electrode,Fp2 (ref LE),used,13
tuar,EEG FP2-REF,electrode,Fp2 (ref REF),used,297
tuar,EEG FZ-LE,electrode,Fz (ref LE),used,13
tuar,EEG FZ-REF,electrode,Fz (ref REF),used,297
tuar,EEG LOC-REF,non_eeg,,excluded: non-EEG signal,203
tuar,EEG LUC-LE,non_eeg,,excluded: non-EEG signal,1
tuar,EEG LUC-REF,non_eeg,,excluded: non-EEG signal,4
tuar,EEG O1-LE,electrode,O1 (ref LE),used,13
tuar,EEG O1-REF,electrode,O1 (ref REF),used,297
tuar,EEG O2-LE,electrode,O2 (ref LE),used,13
tuar,EEG O2-REF,electrode,O2 (ref REF),used,297
tuar,EEG OZ-LE,electrode,Oz (ref LE),"recognized, not needed for the montage",13
tuar,EEG P3-LE,electrode,P3 (ref LE),used,13
tuar,EEG P3-REF,electrode,P3 (ref REF),used,297
tuar,EEG P4-LE,electrode,P4 (ref LE),used,13
tuar,EEG P4-REF,electrode,P4 (ref REF),used,297
tuar,EEG PG1-LE,electrode,PG1 (ref LE),"recognized, not needed for the montage",13
tuar,EEG PG2-LE,electrode,PG2 (ref LE),"recognized, not needed for the montage",13
tuar,EEG PZ-LE,electrode,Pz (ref LE),used,13
tuar,EEG PZ-REF,electrode,Pz (ref REF),used,297
tuar,EEG RESP1-REF,non_eeg,,excluded: non-EEG signal,4
tuar,EEG RESP2-REF,non_eeg,,excluded: non-EEG signal,4
tuar,EEG RLC-LE,non_eeg,,excluded: non-EEG signal,1
tuar,EEG RLC-REF,non_eeg,,excluded: non-EEG signal,4
tuar,EEG ROC-REF,non_eeg,,excluded: non-EEG signal,203
tuar,EEG SP1-LE,electrode,SP1 (ref LE),"recognized, not needed for the montage",1
tuar,EEG SP1-REF,electrode,SP1 (ref REF),"recognized, not needed for the montage",63
tuar,EEG SP2-LE,electrode,SP2 (ref LE),"recognized, not needed for the montage",1
tuar,EEG SP2-REF,electrode,SP2 (ref REF),"recognized, not needed for the montage",63
tuar,EEG T1-LE,electrode,T1 (ref LE),"recognized, not needed for the montage",1
tuar,EEG T1-REF,electrode,T1 (ref REF),"recognized, not needed for the montage",295
tuar,EEG T2-LE,electrode,T2 (ref LE),"recognized, not needed for the montage",1
tuar,EEG T2-REF,electrode,T2 (ref REF),"recognized, not needed for the montage",295
tuar,EEG T3-LE,electrode,T7 (ref LE),used,13
tuar,EEG T3-REF,electrode,T7 (ref REF),used,297
tuar,EEG T4-LE,electrode,T8 (ref LE),used,13
tuar,EEG T4-REF,electrode,T8 (ref REF),used,297
tuar,EEG T5-LE,electrode,P7 (ref LE),used,13
tuar,EEG T5-REF,electrode,P7 (ref REF),used,297
tuar,EEG T6-LE,electrode,P8 (ref LE),used,13
tuar,EEG T6-REF,electrode,P8 (ref REF),used,297
tuar,EMG-REF,non_eeg,,excluded: non-EEG signal,148
tuar,IBI,non_eeg,,excluded: non-EEG signal,288
tuar,PHOTIC PH,non_eeg,,excluded: non-EEG signal,13
tuar,PHOTIC-REF,non_eeg,,excluded: non-EEG signal,211
tuar,SUPPR,non_eeg,,excluded: non-EEG signal,288
tusz,BURSTS,non_eeg,,excluded: non-EEG signal,6287
tusz,DC1-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC2-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC3-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC4-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC5-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC6-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC7-DC,non_eeg,,excluded: non-EEG signal,334
tusz,DC8-DC,non_eeg,,excluded: non-EEG signal,334
tusz,ECG EKG-REF,non_eeg,,excluded: non-EEG signal,15
tusz,EEG 100-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 101-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 102-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 103-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 104-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 105-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 106-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 107-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 108-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 109-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 110-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 111-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 112-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 113-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 114-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 115-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 116-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 117-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 118-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 119-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 120-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 121-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 122-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 123-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 124-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 125-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 126-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 127-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 128-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 20-REF,numbered,,excluded: numbered channel with no electrode position,536
tusz,EEG 21-REF,numbered,,excluded: numbered channel with no electrode position,542
tusz,EEG 22-REF,numbered,,excluded: numbered channel with no electrode position,542
tusz,EEG 23-LE,numbered,,excluded: numbered channel with no electrode position,15
tusz,EEG 23-REF,numbered,,excluded: numbered channel with no electrode position,536
tusz,EEG 24-LE,numbered,,excluded: numbered channel with no electrode position,15
tusz,EEG 24-REF,numbered,,excluded: numbered channel with no electrode position,536
tusz,EEG 25-REF,numbered,,excluded: numbered channel with no electrode position,543
tusz,EEG 26-LE,numbered,,excluded: numbered channel with no electrode position,373
tusz,EEG 26-REF,numbered,,excluded: numbered channel with no electrode position,843
tusz,EEG 27-LE,numbered,,excluded: numbered channel with no electrode position,373
tusz,EEG 27-REF,numbered,,excluded: numbered channel with no electrode position,833
tusz,EEG 28-LE,numbered,,excluded: numbered channel with no electrode position,498
tusz,EEG 28-REF,numbered,,excluded: numbered channel with no electrode position,833
tusz,EEG 29-LE,numbered,,excluded: numbered channel with no electrode position,498
tusz,EEG 29-REF,numbered,,excluded: numbered channel with no electrode position,1651
tusz,EEG 30-LE,numbered,,excluded: numbered channel with no electrode position,573
tusz,EEG 30-REF,numbered,,excluded: numbered channel with no electrode position,1651
tusz,EEG 31-LE,numbered,,excluded: numbered channel with no electrode position,358
tusz,EEG 31-REF,numbered,,excluded: numbered channel with no electrode position,3864
tusz,EEG 32-LE,numbered,,excluded: numbered channel with no electrode position,358
tusz,EEG 32-REF,numbered,,excluded: numbered channel with no electrode position,3864
tusz,EEG 33-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 34-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 35-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 36-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 37-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 38-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 39-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 40-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 41-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 42-REF,numbered,,excluded: numbered channel with no electrode position,75
