dataset,recording,derivation,median_abs_uV
siena,siena_v1.0.0/PN01/PN01-1.edf,Fp2-F8,624.802
siena,siena_v1.0.0/PN10/PN10-3.edf,P3-O1,532.587
siena,siena_v1.0.0/PN10/PN10-3.edf,P7-O1,530.304
siena,siena_v1.0.0/PN13/PN13-2.edf,Cz-Pz,627.823
siena,siena_v1.0.0/PN13/PN13-2.edf,Fz-Cz,628.1
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,C3-P3,300.866
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,C4-P4,364.028
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,Cz-Pz,385.681
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,F3-C3,374.131
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,F4-C4,419.264
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,F7-T7,201.489
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,Fp1-F7,315.996
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,Fp2-F4,510.172
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,P4-O2,588.801
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,P8-O2,316.29
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,T7-P7,420.091
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaenq_s004_t000.edf,T8-P8,288.091
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaaimu_s008_t000.edf,Cz-Pz,235.072
tuar,tuar_v3.0.1/edf/01_tcp_ar/aaaaajrj_s006_t006.edf,Cz-Pz,611.02
tuar,tuar_v3.0.1/edf/02_tcp_le/aaaaafsb_s001_t000.edf,C4-P4,518.224
tuar,tuar_v3.0.1/edf/02_tcp_le/aaaaafsb_s001_t000.edf,Fp1-F3,4066.204
tuar,tuar_v3.0.1/edf/02_tcp_le/aaaaafsb_s001_t000.edf,Fp1-F7,4077.135
tuar,tuar_v3.0.1/edf/02_tcp_le/aaaaafsb_s001_t000.edf,P4-O2,569.785
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,C3-P3,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,C4-P4,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Cz-Pz,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,F3-C3,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,F4-C4,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,F7-T7,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,F8-T8,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Fp1-F3,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Fp1-F7,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Fp2-F4,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Fp2-F8,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,Fz-Cz,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,P3-O1,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,P4-O2,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,P7-O1,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,P8-O2,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,T7-P7,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s005_2016/01_tcp_ar/aaaaagbf_s005_t001.edf,T8-P8,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s009_2016/01_tcp_ar/aaaaagbf_s009_t010.edf,P7-O1,205.876
tusz,tusz_v2.0.6/edf/dev/aaaaagbf/s009_2016/01_tcp_ar/aaaaagbf_s009_t010.edf,T7-P7,216.25
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t013.edf,P4-O2,253.895
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t013.edf,P8-O2,258.245
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,F4-C4,329.436
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,F8-T8,846.092
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,Fp2-F4,323.663
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,Fp2-F8,835.134
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,P4-O2,484.617
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s007_2014/01_tcp_ar/aaaaahie_s007_t016.edf,P8-O2,547.024
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,C4-P4,223.109
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,Cz-Pz,533.723
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,F3-C3,408.657
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,F7-T7,441.367
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,F8-T8,283.676
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,Fp1-F3,349.262
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,Fp1-F7,293.464
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,Fp2-F4,218.927
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,Fp2-F8,425.723
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,P3-O1,376.534
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t003.edf,P4-O2,208.637
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,Cz-Pz,2152.709
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,F3-C3,516.908
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,F7-T7,0.0
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,Fp1-F3,834.046
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,Fp1-F7,200.439
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,Fz-Cz,2974.29
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,P3-O1,808.949
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s019_2016/01_tcp_ar/aaaaahie_s019_t015.edf,P7-O1,979.607
tusz,tusz_v2.0.6/edf/dev/aaaaahie/s026_2016/01_tcp_ar/aaaaahie_s026_t004.edf,T8-P8,215.497
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t000.edf,C3-P3,828.625
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t000.edf,F3-C3,856.642
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t001.edf,C3-P3,386.711
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t001.edf,F3-C3,399.764
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t001.edf,F7-T7,1142.073
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t001.edf,T7-P7,1205.851
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t002.edf,C3-P3,241.616
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t002.edf,F3-C3,256.439
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t002.edf,F7-T7,314.037
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s001_2008/02_tcp_le/aaaaaict_s001_t002.edf,T7-P7,359.276
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Cz-Pz,237.804
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,F7-T7,229.998
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Fp1-F3,308.896
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Fp1-F7,304.375
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Fp2-F4,352.009
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Fp2-F8,350.524
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,Fz-Cz,217.505
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s005_2011/03_tcp_ar_a/aaaaaict_s005_t009.edf,T7-P7,228.681
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s006_2011/03_tcp_ar_a/aaaaaict_s006_t007.edf,Cz-Pz,375.363
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s006_2011/03_tcp_ar_a/aaaaaict_s006_t008.edf,Cz-Pz,245.7
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s006_2011/03_tcp_ar_a/aaaaaict_s006_t009.edf,Cz-Pz,408.436
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s006_2011/03_tcp_ar_a/aaaaaict_s006_t010.edf,Cz-Pz,346.932
tusz,tusz_v2.0.6/edf/dev/aaaaaict/s006_2011/03_tcp_ar_a/aaaaaict_s006_t011.edf,Cz-Pz,360.679
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t003.edf,F4-C4,451.231
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t003.edf,Fp2-F4,603.864
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t003.edf,Fp2-F8,591.265
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t004.edf,F4-C4,318.213
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t004.edf,Fp2-F4,450.245
tusz,tusz_v2.0.6/edf/dev/aaaaaiij/s004_2016/01_tcp_ar/aaaaaiij_s004_t004.edf,Fp2-F8,855.683
tusz,tusz_v2.0.6/edf/dev/aaaaakcy/s009_2015/01_tcp_ar/aaaaakcy_s009_t000.edf,F8-T8,0.837
tusz,tusz_v2.0.6/edf/dev/aaaaakcy/s009_2015/01_tcp_ar/aaaaakcy_s009_t000.edf,Fp1-F3,1301.848
tusz,tusz_v2.0.6/edf/dev/aaaaakcy/s009_2015/01_tcp_ar/aaaaakcy_s009_t000.edf,Fp1-F7,1301.513
tusz,tusz_v2.0.6/edf/dev/aaaaakcy/s009_2015/01_tcp_ar/aaaaakcy_s009_t001.edf,Fp1-F3,1655.962
tusz,tusz_v2.0.6/edf/dev/aaaaakcy/s009_2015/01_tcp_ar/aaaaakcy_s009_t001.edf,Fp1-F7,1659.894
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s003_2013/01_tcp_ar/aaaaalhp_s003_t011.edf,F7-T7,384.816
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s003_2013/01_tcp_ar/aaaaalhp_s003_t011.edf,Fp1-F7,382.557
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t000.edf,F7-T7,1068.951
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t000.edf,Fp1-F7,476.837
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t000.edf,T7-P7,869.683
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t004.edf,F7-T7,512.474
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t004.edf,Fp1-F7,517.493
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,C3-P3,4151.659
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,C4-P4,2173.623
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Cz-Pz,3358.855
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,F3-C3,3138.924
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,F4-C4,2875.409
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,F7-T7,2524.474
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,F8-T8,1280.934
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Fp1-F3,466.045
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Fp1-F7,2072.567
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Fp2-F4,1501.617
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Fp2-F8,2763.394
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,Fz-Cz,1657.384
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,P3-O1,4880.299
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,P4-O2,2605.536
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,P7-O1,246.617
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,P8-O2,4336.119
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,T7-P7,1172.767
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t006.edf,T8-P8,3404.029
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,C3-P3,4274.298
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,C4-P4,2303.456
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Cz-Pz,4761.926
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,F3-C3,2840.525
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,F4-C4,2768.414
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,F7-T7,2568.059
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,F8-T8,1466.482
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Fp1-F3,249.294
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Fp1-F7,2182.908
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Fp2-F4,1411.018
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Fp2-F8,2611.309
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,Fz-Cz,1429.088
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,P3-O1,4353.603
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,P4-O2,2565.047
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,P7-O1,560.994
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,P8-O2,4274.047
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,T7-P7,1273.74
tusz,tusz_v2.0.6/edf/dev/aaaaalhp/s004_2013/01_tcp_ar/aaaaalhp_s004_t007.edf,T8-P8,3633.161
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s008_2012/01_tcp_ar/aaaaamnd_s008_t011.edf,Cz-Pz,437.686
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s008_2012/01_tcp_ar/aaaaamnd_s008_t011.edf,Fp2-F4,831.369
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s008_2012/01_tcp_ar/aaaaamnd_s008_t011.edf,Fp2-F8,841.324
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t014.edf,C4-P4,374.108
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t014.edf,Fp2-F8,213.322
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t014.edf,P4-O2,386.489
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,C4-P4,1772.996
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,F7-T7,3901.947
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,F8-T8,1571.804
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,Fp1-F3,4968.555
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,Fp1-F7,4787.525
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,Fp2-F8,1582.931
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,P4-O2,1734.766
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t015.edf,T7-P7,3967.533
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,C4-P4,561.496
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,F7-T7,1585.273
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,Fp1-F3,1541.605
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,Fp1-F7,1521.193
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,P4-O2,616.876
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t016.edf,T7-P7,1597.487
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t017.edf,C4-P4,339.223
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t017.edf,F7-T7,283.09
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t017.edf,Fp1-F3,214.827
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t017.edf,Fp1-F7,250.799
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s016_2014/01_tcp_ar/aaaaamnd_s016_t017.edf,P4-O2,350.851
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t000.edf,C4-P4,308.02
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t000.edf,Fp1-F3,234.068
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t000.edf,Fp1-F7,319.397
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t000.edf,P4-O2,307.852
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t000.edf,T7-P7,305.008
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,C3-P3,383.143
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,C4-P4,1260.689
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,Cz-Pz,940.289
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,F3-C3,1229.904
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,F4-C4,886.749
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,F7-T7,1266.713
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,F8-T8,1801.272
tusz,tusz_v2.0.6/edf/dev/aaaaamnd/s017_2014/01_tcp_ar/aaaaamnd_s017_t001.edf,Fp1-F3,2654.558
