dataset,label,n_recordings
tuar,EEG EKG1-REF,288
tuar,EEG F3-LE,13
tuar,EEG F3-REF,297
tuar,EEG F4-LE,13
tuar,EEG F4-REF,297
tuar,EEG F7-LE,13
tuar,EEG F7-REF,297
tuar,EEG F8-LE,13
tuar,EEG F8-REF,297
tuar,EEG FP1-LE,13
tuar,EEG FP1-REF,297
tuar,EEG FP2-LE,13
tuar,EEG FP2-REF,297
tuar,EEG FZ-LE,13
tuar,EEG FZ-REF,297
tuar,EEG LOC-REF,203
tuar,EEG LUC-LE,1
tuar,EEG LUC-REF,4
tuar,EEG O1-LE,13
tuar,EEG O1-REF,297
tuar,EEG O2-LE,13
tuar,EEG O2-REF,297
tuar,EEG OZ-LE,13
tuar,EEG P3-LE,13
tuar,EEG P3-REF,297
tuar,EEG P4-LE,13
tuar,EEG P4-REF,297
tuar,EEG PG1-LE,13
tuar,EEG PG2-LE,13
tuar,EEG PZ-LE,13
tuar,EEG PZ-REF,297
tuar,EEG RESP1-REF,4
tuar,EEG RESP2-REF,4
tuar,EEG RLC-LE,1
tuar,EEG RLC-REF,4
tuar,EEG ROC-REF,203
tuar,EEG SP1-LE,1
tuar,EEG SP1-REF,63
tuar,EEG SP2-LE,1
tuar,EEG SP2-REF,63
tuar,EEG T1-LE,1
tuar,EEG T1-REF,295
tuar,EEG T2-LE,1
tuar,EEG T2-REF,295
tuar,EEG T3-LE,13
tuar,EEG T3-REF,297
tuar,EEG T4-LE,13
tuar,EEG T4-REF,297
tuar,EEG T5-LE,13
tuar,EEG T5-REF,297
tuar,EEG T6-LE,13
tuar,EEG T6-REF,297
tuar,EMG-REF,148
tuar,IBI,288
tuar,PHOTIC PH,13
tuar,PHOTIC-REF,211
tuar,SUPPR,288
tusz,BURSTS,6287
tusz,DC1-DC,334
tusz,DC2-DC,334
tusz,DC3-DC,334
tusz,DC4-DC,334
tusz,DC5-DC,334
tusz,DC6-DC,334
tusz,DC7-DC,334
tusz,DC8-DC,334
tusz,ECG EKG-REF,15
tusz,EEG 100-REF,75
tusz,EEG 101-REF,75
tusz,EEG 102-REF,75
tusz,EEG 103-REF,75
tusz,EEG 104-REF,75
tusz,EEG 105-REF,75
tusz,EEG 106-REF,75
tusz,EEG 107-REF,75
tusz,EEG 108-REF,75
tusz,EEG 109-REF,75
tusz,EEG 110-REF,75
tusz,EEG 111-REF,75
tusz,EEG 112-REF,75
tusz,EEG 113-REF,75
tusz,EEG 114-REF,75
tusz,EEG 115-REF,75
tusz,EEG 116-REF,75
tusz,EEG 117-REF,75
tusz,EEG 118-REF,75
tusz,EEG 119-REF,75
tusz,EEG 120-REF,75
tusz,EEG 121-REF,75
tusz,EEG 122-REF,75
tusz,EEG 123-REF,75
tusz,EEG 124-REF,75
tusz,EEG 125-REF,75
tusz,EEG 126-REF,75
tusz,EEG 127-REF,75
tusz,EEG 128-REF,75
tusz,EEG 20-REF,536
tusz,EEG 21-REF,542
tusz,EEG 22-REF,542
tusz,EEG 23-LE,15
tusz,EEG 23-REF,536
tusz,EEG 24-LE,15
tusz,EEG 24-REF,536
tusz,EEG 25-REF,543
tusz,EEG 26-LE,373
tusz,EEG 26-REF,843
tusz,EEG 27-LE,373
tusz,EEG 27-REF,833
tusz,EEG 28-LE,498
tusz,EEG 28-REF,833
tusz,EEG 29-LE,498
tusz,EEG 29-REF,1651
tusz,EEG 30-LE,573
tusz,EEG 30-REF,1651
tusz,EEG 31-LE,358
tusz,EEG 31-REF,3864
tusz,EEG 32-LE,358
tusz,EEG 32-REF,3864
tusz,EEG 33-REF,75
tusz,EEG 34-REF,75
tusz,EEG 35-REF,75
tusz,EEG 36-REF,75
tusz,EEG 37-REF,75
tusz,EEG 38-REF,75
tusz,EEG 39-REF,75
tusz,EEG 40-REF,75
tusz,EEG 41-REF,75
tusz,EEG 42-REF,75
tusz,EEG 43-REF,75
tusz,EEG 44-REF,75
tusz,EEG 45-REF,75
tusz,EEG 46-REF,75
tusz,EEG 47-REF,75
tusz,EEG 48-REF,75
tusz,EEG 49-REF,75
tusz,EEG 50-REF,75
tusz,EEG 51-REF,75
tusz,EEG 52-REF,75
tusz,EEG 53-REF,75
tusz,EEG 54-REF,75
tusz,EEG 55-REF,75
tusz,EEG 56-REF,75
tusz,EEG 57-REF,75
tusz,EEG 58-REF,75
tusz,EEG 59-REF,75
tusz,EEG 60-REF,75
tusz,EEG 61-REF,75
tusz,EEG 62-REF,75
tusz,EEG 63-REF,75
tusz,EEG 64-REF,75
tusz,EEG 65-REF,75
tusz,EEG 66-REF,75
tusz,EEG 67-REF,75
tusz,EEG 68-REF,75
tusz,EEG 69-REF,75
tusz,EEG 70-REF,75
tusz,EEG 71-REF,75
tusz,EEG 72-REF,75
tusz,EEG 73-REF,75
tusz,EEG 74-REF,75
tusz,EEG 75-REF,75
tusz,EEG 76-REF,75
tusz,EEG 77-REF,75
tusz,EEG 78-REF,75
tusz,EEG 79-REF,75
tusz,EEG 80-REF,75
tusz,EEG 81-REF,75
tusz,EEG 82-REF,75
tusz,EEG 83-REF,75
tusz,EEG 84-REF,75
tusz,EEG 85-REF,75
tusz,EEG 86-REF,75
tusz,EEG 87-REF,75
tusz,EEG 88-REF,75
tusz,EEG 89-REF,75
tusz,EEG 90-REF,75
tusz,EEG 91-REF,75
tusz,EEG 92-REF,75
tusz,EEG 93-REF,75
tusz,EEG 94-REF,75
tusz,EEG 95-REF,75
tusz,EEG 96-REF,75
tusz,EEG 97-REF,75
tusz,EEG 98-REF,75
tusz,EEG 99-REF,75
tusz,EEG A1-LE,573
tusz,EEG A1-REF,6101
tusz,EEG A2-LE,573
tusz,EEG A2-REF,6101
tusz,EEG C3-LE,573
tusz,EEG C3-REF,7567
tusz,EEG C3P-REF,3216
tusz,EEG C4-LE,573
tusz,EEG C4-REF,7567
tusz,EEG C4P-REF,3216
tusz,EEG CZ-LE,573
tusz,EEG CZ-REF,7567
tusz,EEG EKG-LE,573
tusz,EEG EKG-REF,119
tusz,EEG EKG1-REF,6894
tusz,EEG F3-LE,573
tusz,EEG F3-REF,7567
tusz,EEG F4-LE,573
tusz,EEG F4-REF,7567
tusz,EEG F7-LE,573
tusz,EEG F7-REF,7567
tusz,EEG F8-LE,573
tusz,EEG F8-REF,7567
tusz,EEG FP1-LE,573
tusz,EEG FP1-REF,7567
tusz,EEG FP2-LE,573
tusz,EEG FP2-REF,7567
tusz,EEG FZ-LE,573
tusz,EEG FZ-REF,6942
tusz,EEG LOC-REF,1410
tusz,EEG LUC-LE,75
tusz,EEG LUC-REF,113
tusz,EEG O1-LE,573
tusz,EEG O1-REF,7567
tusz,EEG O2-LE,573
tusz,EEG O2-REF,7567
tusz,EEG OZ-LE,573
tusz,EEG OZ-REF,15
tusz,EEG P3-LE,573
tusz,EEG P3-REF,7567
tusz,EEG P4-LE,573
tusz,EEG P4-REF,7567
tusz,EEG PG1-LE,558
tusz,EEG PG2-LE,558
tusz,EEG PZ-LE,573
tusz,EEG PZ-REF,6942
tusz,EEG RESP1-REF,113
tusz,EEG RESP2-REF,113
tusz,EEG RLC-LE,75
tusz,EEG RLC-REF,113
tusz,EEG ROC-REF,1410
tusz,EEG SP1-LE,200
tusz,EEG SP1-REF,3304
tusz,EEG SP2-LE,200
tusz,EEG SP2-REF,3185
tusz,EEG T1-LE,215
tusz,EEG T1-REF,6389
tusz,EEG T2-LE,215
tusz,EEG T2-REF,6389
tusz,EEG T3-LE,573
tusz,EEG T3-REF,7567
tusz,EEG T4-LE,573
tusz,EEG T4-REF,7567
tusz,EEG T5-LE,573
tusz,EEG T5-REF,7567
tusz,EEG T6-LE,573
tusz,EEG T6-REF,7567
tusz,EMG-REF,2521
tusz,IBI,6287
tusz,PHOTIC PH,558
tusz,PHOTIC-REF,1332
tusz,PULSE RATE,15
tusz,RESP ABDOMEN-REF,100
tusz,SUPPR,6287
