fold,test,step,inner_auroc_by_option,chosen
4,chbmit:chb05,context,"{""0"": 0.5823, ""2"": 0.6077, ""5"": 0.511, ""10"": 0.5261}",2
5,chbmit:chb06,context,"{""0"": 0.5744, ""2"": 0.5599, ""5"": 0.5969, ""10"": 0.6181}",10
6,chbmit:chb07,context,"{""0"": 0.6291, ""2"": 0.6158, ""5"": 0.633, ""10"": 0.6054}",5
7,chbmit:chb08,context,"{""0"": 0.5589, ""2"": 0.5431, ""5"": 0.5276, ""10"": 0.5274}",0
8,chbmit:chb09,context,"{""0"": 0.6548, ""2"": 0.5759, ""5"": 0.5794, ""10"": 0.5867}",0
9,chbmit:chb10,context,"{""0"": 0.5536, ""2"": 0.5444, ""5"": 0.5611, ""10"": 0.508}",5
10,chbmit:chb11,context,"{""0"": 0.5838, ""2"": 0.6086, ""5"": 0.6211, ""10"": 0.5482}",5
11,chbmit:chb13,context,"{""0"": 0.5366, ""2"": 0.5227, ""5"": 0.4696, ""10"": 0.4692}",0
12,chbmit:chb14,context,"{""0"": 0.6154, ""2"": 0.6261, ""5"": 0.5896, ""10"": 0.6178}",2
13,chbmit:chb15,context,"{""0"": 0.533, ""2"": 0.4931, ""5"": 0.4572, ""10"": 0.4284}",0
14,chbmit:chb16,context,"{""0"": 0.5348, ""2"": 0.5325, ""5"": 0.5426, ""10"": 0.5611}",10
15,chbmit:chb17,context,"{""0"": 0.5025, ""2"": 0.5118, ""5"": 0.5053, ""10"": 0.5165}",10
16,chbmit:chb18,context,"{""0"": 0.5258, ""2"": 0.5511, ""5"": 0.5516, ""10"": 0.6046}",10
17,chbmit:chb19,context,"{""0"": 0.6089, ""2"": 0.5818, ""5"": 0.6106, ""10"": 0.6079}",5
18,chbmit:chb20,context,"{""0"": 0.5679, ""2"": 0.5752, ""5"": 0.5799, ""10"": 0.6262}",10
19,chbmit:chb22,context,"{""0"": 0.5342, ""2"": 0.5129, ""5"": 0.4825, ""10"": 0.5458}",10
20,chbmit:chb23,context,"{""0"": 0.5016, ""2"": 0.5192, ""5"": 0.5247, ""10"": 0.5499}",10
21,siena:PN01,context,"{""0"": 0.567, ""2"": 0.5409, ""5"": 0.5638, ""10"": 0.6274}",10
22,siena:PN03,context,"{""0"": 0.6364, ""2"": 0.6516, ""5"": 0.6076, ""10"": 0.6428}",2
23,siena:PN07,context,"{""0"": 0.6074, ""2"": 0.6179, ""5"": 0.6044, ""10"": 0.6521}",10
24,siena:PN14,context,"{""0"": 0.4469, ""2"": 0.443, ""5"": 0.4644, ""10"": 0.4341}",5
full,,context,"{""0"": 0.5358, ""2"": 0.5344, ""5"": 0.5338, ""10"": 0.529}",0
0,chbmit:chb01,clock,"{""False"": 0.5385, ""True"": 0.4443}",False
1,chbmit:chb02,clock,"{""False"": 0.5564, ""True"": 0.6429}",True
2,chbmit:chb03,clock,"{""False"": 0.6489, ""True"": 0.7434}",True
3,chbmit:chb04,clock,"{""False"": 0.638, ""True"": 0.7275}",True
4,chbmit:chb05,clock,"{""False"": 0.6077, ""True"": 0.7462}",True
5,chbmit:chb06,clock,"{""False"": 0.6181, ""True"": 0.639}",True
6,chbmit:chb07,clock,"{""False"": 0.633, ""True"": 0.6834}",True
7,chbmit:chb08,clock,"{""False"": 0.5589, ""True"": 0.6483}",True
8,chbmit:chb09,clock,"{""False"": 0.6548, ""True"": 0.7781}",True
9,chbmit:chb10,clock,"{""False"": 0.5611, ""True"": 0.7025}",True
10,chbmit:chb11,clock,"{""False"": 0.6211, ""True"": 0.691}",True
11,chbmit:chb13,clock,"{""False"": 0.5366, ""True"": 0.6787}",True
12,chbmit:chb14,clock,"{""False"": 0.6261, ""True"": 0.5906}",False
13,chbmit:chb15,clock,"{""False"": 0.533, ""True"": 0.5963}",True
14,chbmit:chb16,clock,"{""False"": 0.5611, ""True"": 0.5652}",True
15,chbmit:chb17,clock,"{""False"": 0.5165, ""True"": 0.6457}",True
16,chbmit:chb18,clock,"{""False"": 0.6046, ""True"": 0.6052}",True
17,chbmit:chb19,clock,"{""False"": 0.6106, ""True"": 0.5876}",False
18,chbmit:chb20,clock,"{""False"": 0.6262, ""True"": 0.6991}",True
19,chbmit:chb22,clock,"{""False"": 0.5458, ""True"": 0.5863}",True
20,chbmit:chb23,clock,"{""False"": 0.5499, ""True"": 0.6814}",True
21,siena:PN01,clock,"{""False"": 0.6274, ""True"": 0.7556}",True
22,siena:PN03,clock,"{""False"": 0.6516, ""True"": 0.6146}",False
23,siena:PN07,clock,"{""False"": 0.6521, ""True"": 0.7247}",True
24,siena:PN14,clock,"{""False"": 0.4644, ""True"": 0.6271}",True
full,,clock,"{""False"": 0.5358, ""True"": 0.6702}",True
0,chbmit:chb01,tusz,"{""False"": 0.5385, ""True"": 0.5526}",True
1,chbmit:chb02,tusz,"{""False"": 0.6429, ""True"": 0.6079}",False
2,chbmit:chb03,tusz,"{""False"": 0.7434, ""True"": 0.6774}",False
3,chbmit:chb04,tusz,"{""False"": 0.7275, ""True"": 0.6783}",False
4,chbmit:chb05,tusz,"{""False"": 0.7462, ""True"": 0.7144}",False
5,chbmit:chb06,tusz,"{""False"": 0.639, ""True"": 0.6734}",True
6,chbmit:chb07,tusz,"{""False"": 0.6834, ""True"": 0.651}",False
7,chbmit:chb08,tusz,"{""False"": 0.6483, ""True"": 0.6062}",False
8,chbmit:chb09,tusz,"{""False"": 0.7781, ""True"": 0.7756}",False
9,chbmit:chb10,tusz,"{""False"": 0.7025, ""True"": 0.6641}",False
10,chbmit:chb11,tusz,"{""False"": 0.691, ""True"": 0.6701}",False
11,chbmit:chb13,tusz,"{""False"": 0.6787, ""True"": 0.5202}",False
12,chbmit:chb14,tusz,"{""False"": 0.6261, ""True"": 0.6168}",False
13,chbmit:chb15,tusz,"{""False"": 0.5963, ""True"": 0.4915}",False
14,chbmit:chb16,tusz,"{""False"": 0.5652, ""True"": 0.5726}",True
15,chbmit:chb17,tusz,"{""False"": 0.6457, ""True"": 0.6678}",True
16,chbmit:chb18,tusz,"{""False"": 0.6052, ""True"": 0.6151}",True
17,chbmit:chb19,tusz,"{""False"": 0.6106, ""True"": 0.6015}",False
18,chbmit:chb20,tusz,"{""False"": 0.6991, ""True"": 0.6534}",False
19,chbmit:chb22,tusz,"{""False"": 0.5863, ""True"": 0.603}",True
20,chbmit:chb23,tusz,"{""False"": 0.6814, ""True"": 0.6852}",True
21,siena:PN01,tusz,"{""False"": 0.7556, ""True"": 0.7147}",False
22,siena:PN03,tusz,"{""False"": 0.6516, ""True"": 0.6154}",False
23,siena:PN07,tusz,"{""False"": 0.7247, ""True"": 0.7075}",False
24,siena:PN14,tusz,"{""False"": 0.6271, ""True"": 0.567}",False
full,,tusz,"{""False"": 0.6702, ""True"": 0.6341}",False
